iter	RMSE
0	1631366.519
1	1574722.849
2	1521630.993
3	1472068.949
4	1425377.997
5	1381468.111
6	1340600.318
7	1302378.597
8	1266629.954
9	1233077.219
10	1201725.619
11	1171649.17
12	1144418.422
13	1118517.353
14	1094616.779
15	1071715.049
16	1050078.113
17	1030472.93
18	1012003.056
19	995091.1742
20	978870.3727
21	964013.3689
22	950380.528
23	937183.2062
24	925078.8147
25	913849.3035
26	902856.6321
27	892795.2113
28	883752.3311
29	875281.6503
30	866478.2049
31	857815.1821
32	850926.7065
33	844246.5394
34	837969.9848
35	832052.5746
36	825688.1683
37	820528.7543
38	815763.3047
39	811326.4404
40	807320.876
41	803530.4194
42	800176.4806
43	795362.4796
44	791365.7292
45	788203.8225
46	784964.0817
47	781744.8486
48	778773.5943
49	776065.2215
50	773332.7743
51	770118.8273
52	768004.1516
53	765078.6736
54	762357.2812
55	760564.7779
56	759085.7896
57	757141.0022
58	755100.9549
59	753507.4621
60	752012.1018
61	750023.9609
62	748767.6733
63	746857.8156
64	745521.0672
65	743578.7927
66	742159.0737
67	741086.8796
68	740172.2793
69	738261.6785
70	737474.0295
71	736714.0427
72	735881.1657
73	735013.475
74	734267.6414
75	733476.0296
76	732775.2389
77	731899.8795
78	731238.1725
79	730330.5921
80	729191.2697
81	728405.8485
82	727534.0531
83	726946.8124
84	725975.0639
85	725255.704
86	723893.1275
87	723255.6434
88	722469.5257
89	721854.8365
90	721148.7285
91	720353.0063
92	719711.6659
93	719004.7802
94	717840.2131
95	716821.849
96	716317.0343
97	715328.1111
98	714609.4989
99	713828.9307
100	712988.7483
101	712319.786
102	711709.9101
103	710727.9579
104	709932.4556
105	709492.32
106	708601.1069
107	707860.455
108	707246.4971
109	706527.086
110	706156.3621
111	705677.182
112	704840.2747
113	704022.0114
114	703263.2281
115	702460.6239
116	701710.3672
117	701485.1189
118	700841.6499
119	700437.1191
120	699957.0516
121	699143.7632
122	698837.2793
123	698228.2043
124	697548.2911
125	697042.3411
126	696552.4713
127	696170.8043
128	695754.2158
129	694815.247
130	694291.164
131	693909.193
132	693488.9406
133	693047.2605
134	692527.5667
135	692053.9844
136	691605.6145
137	691126.5189
138	690477.6769
139	689878.6872
140	689094.7929
141	688693.0582
142	688388.7727
143	688049.5621
144	687533.9537
145	687194.7825
146	686802.2821
147	686392.2471
148	685995.7638
149	685715.3552
150	685456.4062
151	684955.0597
152	684514.6578
153	683775.0219
154	683385.4994
155	683068.1857
156	682369.0206
157	681649.7053
158	681204.3675
159	680608.2226
160	679920.2859
161	679771.1181
162	679322.7535
163	679080.8163
164	678750.5688
165	678510.9757
166	677897.8855
167	677499.0408
168	677266.1635
169	676891.4647
170	676484.2978
171	676266.2418
