iter	Passed	Remaining
0	350	210047
1	555	166174
2	752	149757
3	941	140261
4	1138	135452
5	1334	132141
6	1545	130909
7	1760	130271
8	1980	130057
9	2166	127840
10	2351	125886
11	2546	124761
12	2755	124430
13	2957	123780
14	3154	123018
15	3371	123043
16	3574	122588
17	3790	122573
18	3983	121806
19	4178	121184
20	4363	120310
21	4561	119842
22	4744	119033
23	4942	118612
24	5179	119139
25	5403	119284
26	5619	119255
27	5827	119044
28	6037	118883
29	6259	118922
30	6476	118881
31	6700	118925
32	6930	119076
33	7168	119339
34	7359	118804
35	7564	118517
36	7766	118173
37	7964	117797
38	8156	117325
39	8354	116962
40	8556	116664
41	8749	116248
42	8963	116114
43	9174	115928
44	9421	116201
45	9669	116449
46	9924	116774
47	10168	116938
48	10401	116968
49	10638	117026
50	10873	117045
51	11123	117221
52	11369	117344
53	11641	117713
54	11889	117810
55	12106	117605
56	12308	117255
57	12518	116986
58	12708	116530
59	12892	116031
60	13070	115495
61	13255	115021
62	13458	114719
63	13666	114454
64	13859	114070
65	14065	113800
66	14274	113560
67	14491	113373
68	14688	113041
69	14903	112837
70	15100	112505
71	15303	112222
72	15519	112037
73	15778	112154
74	15972	111804
75	16185	111592
76	16407	111442
77	16614	111191
78	16822	110945
79	17021	110641
80	17237	110444
81	17424	110069
82	17625	109790
83	17802	109356
84	17990	109004
85	18176	108638
86	18361	108267
87	18555	107960
88	18714	107453
89	18890	107047
90	19069	106665
91	19293	106536
92	19504	106329
93	19694	106016
94	19900	105784
95	20090	105475
96	20285	105191
97	20457	104792
98	20649	104500
99	20832	104160
100	21009	103801
101	21179	103403
102	21386	103194
103	21596	102997
104	21777	102667
105	21978	102428
106	22195	102264
107	22397	102033
108	22606	101834
109	22796	101547
110	23015	101392
111	23222	101185
112	23429	100975
113	23633	100751
114	23823	100472
115	24024	100239
116	24216	99972
117	24417	99737
118	24609	99472
119	24824	99298
120	25016	99031
121	25228	98845
122	25480	98813
123	25738	98803
124	25985	98744
125	26214	98618
126	26417	98387
127	26635	98218
128	26866	98095
129	27096	97964
130	27329	97843
131	27564	97729
132	27823	97695
133	28059	97580
134	28338	97610
135	28627	97670
136	28912	97712
137	29157	97613
138	29396	97494
139	29631	97361
140	29873	97249
141	30074	97001
142	30285	96784
143	30484	96534
144	30710	96366
145	30908	96112
146	31094	95822
147	31285	95546
148	31465	95240
149	31661	94984
150	31865	94751
151	32081	94556
152	32293	94346
153	32531	94213
154	32739	93994
155	32965	93826
156	33180	93623
157	33382	93387
158	33600	93194
159	33820	93006
160	34036	92807
161	34257	92621
162	34481	92443
163	34716	92294
164	34961	92171
165	35197	92022
166	35440	91890
167	35640	91646
168	35864	91464
169	36096	91301
170	36321	91123
171	36528	90896
172	36780	90782
173	37034	90670
174	37255	90477
175	37459	90244
176	37673	90034
177	37885	89818
178	38081	89565
179	38283	89328
180	38462	89037
181	38642	88749
182	38841	88507
183	39055	88300
184	39253	88056
185	39433	87771
186	39606	87473
187	39784	87188
188	39958	86894
189	40147	86634
190	40328	86358
191	40533	86134
192	40721	85872
193	40907	85611
194	41090	85341
195	41279	85086
196	41461	84816
197	41640	84542
198	41831	84293
199	42000	84000
200	42169	83709
201	42364	83469
202	42543	83201
203	42726	82938
204	42907	82675
205	43085	82406
206	43267	82145
207	43451	81890
208	43628	81621
209	43813	81367
210	44005	81128
211	44181	80860
212	44359	80596
213	44537	80334
214	44731	80100
215	44917	79854
216	45109	79616
217	45288	79358
218	45478	79119
219	45663	78873
220	45860	78647
221	46069	78442
222	46269	78222
223	46464	77994
224	46717	77862
225	46918	77643
226	47106	77403
227	47282	77145
228	47496	76947
229	47694	76725
230	47889	76499
231	48088	76277
232	48281	76048
233	48488	75840
234	48692	75628
235	48881	75392
236	49070	75157
237	49274	74947
238	49503	74773
239	49713	74570
240	49922	74365
241	50119	74144
242	50308	73909
243	50488	73663
244	50668	73417
245	50862	73192
246	51066	72981
247	51273	72775
248	51479	72567
249	51663	72328
250	51848	72092
251	52048	71877
252	52237	71646
253	52441	71436
254	52643	71223
255	52847	71014
256	53048	70800
257	53256	70595
258	53448	70369
259	53626	70126
260	53807	69887
261	53998	69661
262	54224	69481
263	54436	69283
264	54655	69092
265	54860	68884
266	55066	68678
267	55244	68437
268	55445	68224
269	55652	68019
270	55857	67812
271	56004	67534
272	56211	67330
273	56421	67129
274	56619	66913
275	56827	66710
276	57018	66486
277	57223	66280
278	57427	66072
279	57629	65861
280	57835	65656
281	58022	65429
282	58209	65202
283	58393	64973
284	58584	64751
285	58773	64527
286	58971	64313
287	59169	64100
288	59363	63882
289	59566	63674
290	59789	63487
291	60009	63297
292	60202	63078
293	60410	62876
294	60608	62662
295	60762	62404
296	60954	62185
297	61123	61944
298	61301	61711
299	61511	61511
300	61714	61304
301	61914	61094
302	62118	60888
303	62321	60681
304	62518	60468
305	62728	60268
306	62925	60055
307	63130	59851
308	63337	59648
309	63540	59441
310	63717	59210
311	63898	58983
312	64085	58762
313	64287	58554
314	64501	58358
315	64685	58134
316	64854	57898
317	65061	57696
318	65247	57475
319	65443	57262
320	65639	57051
321	65816	56822
322	66027	56624
323	66243	56429
324	66438	56217
325	66633	56004
326	66834	55797
327	67053	55604
328	67239	55385
329	67427	55168
330	67609	54945
331	67810	54738
332	68016	54535
333	68224	54334
334	68436	54136
335	68647	53937
336	68852	53733
337	69060	53531
338	69280	53339
339	69477	53129
340	69657	52907
341	69858	52700
342	70042	52480
343	70247	52277
344	70452	52073
345	70640	51857
346	70823	51638
347	71013	51423
348	71209	51213
349	71418	51013
350	71598	50791
351	71757	50556
352	71933	50332
353	72136	50128
354	72346	49929
355	72560	49732
356	72777	49537
357	72972	49327
358	73170	49120
359	73354	48902
360	73530	48680
361	73704	48457
362	73887	48240
363	74088	48035
